Date,Daily maximum UTCI,Daily minimum UTCI,Daily maximum T2M,Daily minimum T2M
2000-04-12,40.7858,25.1831,33.7448,26.2458
2000-04-13,40.2411,25.1221,35.0389,25.5014
2000-04-14,37.8936,25.4320,33.7171,25.6647
2000-04-15,38.8871,25.1136,32.5743,22.6940
2000-04-16,40.7031,24.0678,34.5447,21.5473
2000-04-17,39.0315,25.5071,35.0461,25.1693
2000-04-18,39.6162,25.7383,35.0955,25.2052
2000-04-19,40.0005,25.3097,34.5679,26.4687
2000-04-20,40.2192,27.1018,34.8181,26.0882
2000-04-21,41.6003,27.3575,34.2519,26.1778
2000-04-22,39.9326,26.1284,34.6637,26.1487
2000-04-23,40.5806,25.7588,34.6109,26.3719
2000-04-24,40.1715,22.1648,34.7633,22.2872
2000-04-25,38.3644,23.9181,33.8761,24.4515
2000-04-26,35.7408,26.3084,32.0509,26.5157
2000-04-27,36.2493,26.2627,31.8990,26.5784
2000-04-28,39.7064,26.2445,33.4340,27.2259
2000-04-29,39.7074,26.8649,34.2712,26.3522
2000-04-30,38.8943,26.0263,33.4131,26.2678
2000-05-01,39.6923,26.8597,34.8310,26.0205
2000-05-02,38.9090,26.0847,33.8831,26.2612
2000-05-03,37.7106,24.8068,33.4250,21.5883
2000-05-04,39.0960,25.1050,31.9991,22.5916
2000-05-05,38.7867,25.8839,33.5874,24.7437
2000-05-06,37.9423,25.3848,33.1225,24.7471
2000-05-07,38.7399,26.2809,33.6570,24.9921
2000-05-08,40.6125,27.9403,34.9017,26.2368
2000-05-09,42.0377,28.3615,35.4573,26.7985
2000-05-10,41.6923,27.6137,35.8206,25.7761
2000-05-11,41.3574,29.7982,36.1219,26.0507
2000-05-12,43.9838,31.3968,36.6872,27.5244
2000-05-13,44.2001,30.3050,37.4743,28.7221
2000-05-14,43.9257,28.9857,37.4906,26.7745
2000-05-15,42.9418,30.4327,34.7420,27.1926
2000-05-16,42.7808,29.7026,35.9870,26.8888
2000-05-17,40.1423,28.1925,34.3084,27.0644
2000-05-18,43.9624,29.4160,37.8285,28.1395
2000-05-19,43.9438,30.1424,39.5014,26.6081
2000-05-20,43.5793,28.2348,35.0101,26.4823
2000-05-21,40.0422,26.9600,33.2831,25.6742
2000-05-22,37.5710,27.3705,33.1716,25.6026
2000-05-23,34.6648,27.1727,29.1385,25.8509
2000-05-24,39.9149,28.1836,32.7934,26.0503
2000-05-25,42.3412,26.9265,36.5026,28.6536
2000-05-26,42.0837,27.3725,35.0420,28.2068
2000-05-27,41.4452,27.9651,34.7143,28.5782
2000-05-28,41.0007,28.7651,35.2207,27.1704
2000-05-29,41.2283,29.0606,33.0191,27.2995
2000-05-30,41.4882,29.6316,35.1975,26.8535
2000-05-31,40.6005,29.5656,35.1953,27.3226
2000-06-01,42.2423,29.7126,35.2161,27.6185
2000-06-02,41.0229,29.5848,34.7701,28.0120
2000-06-03,41.2810,30.2371,34.4899,28.3130
2000-06-04,41.2354,25.9343,35.1760,26.0907
2000-06-05,33.4866,24.0496,30.3580,26.0552
2000-06-06,32.1827,24.1721,29.9946,25.5406
2000-06-07,34.7010,25.7687,30.0344,26.0806
2000-06-08,36.2772,26.3354,31.1551,27.2970
2000-06-09,39.0248,27.7447,33.6846,27.8786
2000-06-10,37.8087,28.5345,32.4120,28.1703
2000-06-11,39.1493,28.5371,32.0808,27.3072
2000-06-12,41.1654,28.5744,34.2507,27.3193
2000-06-13,42.0646,27.2100,34.2857,26.2459
2000-06-14,42.4048,28.2672,35.2558,27.1624
2000-06-15,39.7958,29.4530,33.0882,26.8316
2000-06-16,40.1659,27.9203,33.1309,25.9044
2000-06-17,40.1396,27.6818,33.6202,26.5047
2000-06-18,35.5487,25.6486,31.4059,26.6527
2000-06-19,36.4857,25.7577,31.5928,27.1045
2000-06-20,36.4857,25.6842,30.5063,27.0158
2000-06-21,36.7226,24.6570,31.4305,27.0226
2000-06-22,34.8619,25.3531,29.4741,26.2478
2000-06-23,34.3972,26.5072,30.4279,26.5517
2000-06-24,40.0754,27.6086,33.4062,27.0827
2000-06-25,41.9798,27.4526,35.1705,26.5286
2000-06-26,40.5643,28.7828,32.5025,25.7886
2000-06-27,39.7589,28.4664,32.2667,26.2976
2000-06-28,37.3154,26.9183,32.4745,26.8622
2000-06-29,36.6675,26.8394,32.2834,26.7262
2000-06-30,37.5452,27.5960,31.7194,26.9176
2000-07-01,38.6751,27.7873,33.2713,26.9287
2000-07-02,38.3380,27.7153,33.8164,27.0516
2000-07-03,38.5402,26.8022,33.5465,26.9910
2000-07-04,39.7508,25.9879,34.1254,26.7818
2000-07-05,39.0546,27.1995,33.8562,27.2851
