Date,Daily maximum UTCI,Daily minimum UTCI,Daily maximum T2M,Daily minimum T2M
2000-04-12,41.3803,26.8811,33.6073,28.1677
2000-04-13,41.8654,27.2796,33.4901,28.1421
2000-04-14,44.3676,26.9355,34.2209,28.0807
2000-04-15,43.2972,27.5297,33.5450,28.1102
2000-04-16,40.6405,27.5723,32.2930,27.9428
2000-04-17,39.1384,27.4829,32.1739,27.6224
2000-04-18,39.2784,25.3609,31.7274,26.2962
2000-04-19,39.5194,25.1724,31.5414,26.1405
2000-04-20,39.8861,26.6531,32.3767,26.5804
2000-04-21,41.3792,27.0133,33.5585,26.9552
2000-04-22,43.3268,27.0153,33.6861,27.3420
2000-04-23,42.9068,28.6965,34.0484,28.1258
2000-04-24,44.5482,27.6583,34.0875,28.4985
2000-04-25,44.8937,25.6844,35.4356,28.1726
2000-04-26,45.0412,26.5802,35.5341,28.5669
2000-04-27,44.7290,26.4436,35.7483,28.4838
2000-04-28,45.2411,26.3926,34.6645,28.6330
2000-04-29,45.9783,27.2527,35.2596,28.9826
2000-04-30,43.3919,28.1939,33.6989,28.3586
2000-05-01,43.7143,28.5053,33.4168,28.4616
2000-05-02,42.7939,27.9872,33.5311,28.2351
2000-05-03,42.4814,28.4454,33.0988,26.0379
2000-05-04,42.6788,27.8025,32.5384,26.0682
2000-05-05,43.4393,28.3738,33.3823,27.5133
2000-05-06,41.9870,28.8501,32.8080,27.5850
2000-05-07,41.8319,28.6719,32.8518,27.4843
2000-05-08,41.6484,28.7926,33.2124,27.4771
2000-05-09,41.9809,29.2434,32.4841,27.7515
2000-05-10,42.9001,28.1514,33.7945,28.3742
2000-05-11,44.3023,27.7923,35.2332,28.4530
2000-05-12,44.8722,27.3174,36.0990,28.7784
2000-05-13,46.3743,27.3043,36.6331,29.4865
2000-05-14,46.9398,26.1177,37.7667,29.6219
2000-05-15,46.8032,27.0614,37.7611,30.2391
2000-05-16,45.3757,27.0207,36.3658,28.2423
2000-05-17,43.4586,26.2622,35.8693,28.4538
2000-05-18,42.9566,25.6327,35.6028,29.1142
2000-05-19,44.2546,25.4508,35.5917,28.8103
2000-05-20,43.9734,25.7605,35.6898,29.0808
2000-05-21,43.1537,26.4042,35.4647,29.4773
2000-05-22,44.1609,27.7262,35.6227,29.3806
2000-05-23,44.6382,28.5859,34.6631,28.9133
2000-05-24,44.3515,27.7844,33.8774,27.1833
2000-05-25,43.2838,25.2853,33.2721,26.7443
2000-05-26,42.2538,26.4482,33.6378,27.9989
2000-05-27,41.9783,28.3835,33.5632,28.3222
2000-05-28,42.3044,27.6501,34.3803,28.5067
2000-05-29,43.7439,27.3535,34.3790,28.3810
2000-05-30,43.4836,26.3227,34.4141,27.2679
2000-05-31,39.1807,26.4906,31.8779,27.3969
2000-06-01,39.9193,25.7566,33.1547,27.1321
2000-06-02,38.9075,25.6730,32.1515,27.1429
2000-06-03,39.9652,24.8733,33.2223,27.2317
2000-06-04,34.2774,23.7499,31.0346,26.9266
2000-06-05,36.7549,23.1082,32.1959,26.7700
2000-06-06,34.9218,24.5102,32.2245,28.0480
2000-06-07,32.9555,24.4323,31.7633,27.6291
2000-06-08,38.4376,24.2164,34.1470,27.9226
2000-06-09,40.3326,25.5926,34.3780,27.8358
2000-06-10,41.2873,24.8854,34.2307,28.0819
2000-06-11,41.2213,24.5287,33.6589,28.2147
2000-06-12,36.7303,24.8266,32.9167,28.1190
2000-06-13,39.9432,24.9550,34.3067,28.0255
2000-06-14,40.4568,24.8762,34.8417,28.5066
2000-06-15,40.8436,24.4911,34.9297,28.7115
2000-06-16,40.7301,25.5315,34.4814,28.8732
2000-06-17,41.8962,24.8565,35.4665,28.9223
2000-06-18,41.8577,24.3443,34.5559,29.0597
2000-06-19,41.6768,24.9678,34.1509,28.0030
2000-06-20,42.2327,24.5458,33.2603,27.6468
2000-06-21,41.7737,27.1257,32.1818,26.6359
2000-06-22,40.5817,27.1831,31.8582,26.7531
2000-06-23,39.2567,26.7593,32.5732,26.5986
2000-06-24,41.3189,26.6770,33.7956,27.3013
2000-06-25,42.0386,26.9214,33.7986,27.8942
2000-06-26,42.3239,27.0378,34.2911,27.9221
2000-06-27,39.4212,23.1022,32.8265,26.1142
2000-06-28,35.9908,24.0034,31.8470,26.2383
2000-06-29,38.1213,24.2675,32.4475,27.0622
2000-06-30,34.5586,23.8114,30.7820,27.0251
2000-07-01,39.7428,23.7700,33.4338,27.0021
2000-07-02,37.9139,23.2538,33.0402,27.1632
2000-07-03,28.5702,20.8063,27.3418,25.2430
2000-07-04,29.0244,20.9355,27.2836,24.9088
2000-07-05,33.1847,22.5802,29.8518,25.1112
2000-07-06,34.8940,23.5952,29.2959,26.1980
2000-07-07,35.9987,24.3640,32.2757,26.5431
2000-07-08,36.3720,23.6174,32.5023,27.0757
2000-07-09,36.0596,23.5632,32.6462,27.2077
